date,symbol,score_fast,score_slow
2022-02-08,LTCUSDT-1d-full,0.5682491341846099,1.3349293193998024
2022-02-08,MKRUSDT-1d-full,1.3117862604618475,1.781733362452561
2022-02-08,NEARUSDT-1d-full,-0.7241666054560466,-1.577730181620791
2022-02-08,OPUSDT-1d-full,,
2022-02-08,RNDRUSDT-1d-full,,
2022-02-08,SEIUSDT-1d-full,,
2022-02-08,SOLUSDT-1d-full,,
2022-02-08,STXUSDT-1d-full,,
2022-02-08,SUIUSDT-1d-full,,
2022-02-08,TIAUSDT-1d-full,,
2022-02-08,UNIUSDT-1d-full,0.5005414502535563,-0.1492898781992831
2022-02-08,WLDUSDT-1d-full,,
2022-02-08,XRPUSDT-1d-full,-2.44915396697332,-0.6904862377457838
2022-02-09,AAVEUSDT-1d-full,0.12171570358979696,0.17611216503262841
2022-02-09,ADAUSDT-1d-full,-0.37581668198785667,-0.6490713677672577
2022-02-09,APTUSDT-1d-full,,
2022-02-09,ARBUSDT-1d-full,,
2022-02-09,ATOMUSDT-1d-full,-0.19384365552523206,-1.0781098216122698
2022-02-09,AVAXUSDT-1d-full,-0.35623040273332235,0.32171895478432644
2022-02-09,BNBUSDT-1d-full,,
2022-02-09,BTCUSDT-1d-full,,
2022-02-09,DOTUSDT-1d-full,0.7366115616912126,0.5376096195988511
2022-02-09,ETHUSDT-1d-full,,
2022-02-09,FETUSDT-1d-full,,
2022-02-09,INJUSDT-1d-full,,
2022-02-09,LINKUSDT-1d-full,0.6549486195792974,0.06169969536779959
2022-02-09,LTCUSDT-1d-full,0.42050892188442207,1.365829156802819
2022-02-09,MKRUSDT-1d-full,1.5571478829627667,1.6986712929196175
2022-02-09,NEARUSDT-1d-full,-0.5811381657861829,-1.6446615656471129
2022-02-09,OPUSDT-1d-full,,
2022-02-09,RNDRUSDT-1d-full,,
2022-02-09,SEIUSDT-1d-full,,
2022-02-09,SOLUSDT-1d-full,,
2022-02-09,STXUSDT-1d-full,,
2022-02-09,SUIUSDT-1d-full,,
2022-02-09,TIAUSDT-1d-full,,
2022-02-09,UNIUSDT-1d-full,0.38658381632200856,-0.062287894669524196
2022-02-09,WLDUSDT-1d-full,,
2022-02-09,XRPUSDT-1d-full,-2.37048759999691,-0.7275102348098781
