date,nav,daily_ret,gross_ret,cost_pct,drawdown,gross_exp,net_exp,n_long,n_short,port_vol_ann,port_vol_fast,port_vol_slow,btc_vol,regime_scale,paused
2022-03-21,97090.11274550087,0.021035563414925105,0.021035563414925105,0.0,-0.03723881184303305,1.2372900425595523,0.009362906371323518,6,5,0.24109275929852114,0.24109275929852114,0.20581529875501067,0.4451220526469184,1.0,False
2022-03-22,94591.26924123486,-0.02573736329688015,-0.025636832054433515,0.00010053124244663719,-0.062017746310764926,1.2710907273720002,0.02421251222581218,6,5,0.2653761832964226,0.2653761832964226,0.21130659195019152,0.4451220526469184,1.0,False
2022-03-23,95084.86340658901,0.005218178900796386,0.005405287665309236,0.00018710876451284969,-0.05712318710524241,1.0787018235886225,0.0016071289693144891,7,4,0.25763145418948674,0.25763145418948674,0.21036106429122597,0.4451220526469184,1.0,False
2022-03-24,95479.64254638464,0.004151861039201757,0.004191167448140066,3.9306408938308644e-05,-0.05320849360101801,1.1665337034178278,0.017152393483255868,7,4,0.2497007143039827,0.2497007143039827,0.20932216900518658,0.4451220526469184,1.0,False
2022-03-25,94553.6768146039,-0.009698043552382492,-0.009618273051101727,7.977050128076558e-05,-0.06239051886510109,1.1673634384027456,-0.011651413305636488,6,5,0.2459144853726854,0.2459144853726854,0.20906172667303996,0.4451220526469184,1.0,False
2022-03-26,95966.1411805775,0.014938227825270902,0.014938227825270902,0.0,-0.04838429482477378,1.1927350532037362,-0.021269686356738232,6,5,0.24875417113595258,0.24875417113595258,0.21009598515576924,0.4451220526469184,1.0,False
2022-03-27,95542.99441320203,-0.004409333981442849,-0.004349101880154833,6.0232101288016144e-05,-0.052580286290877645,1.182717402540534,0.0011903172771034753,7,4,0.2412675608634873,0.2412675608634873,0.2090809349924634,0.4451220526469184,1.0,False
2022-03-28,93116.21215982815,-0.025399897378959924,-0.025320858430664922,7.903894829500112e-05,-0.07664464979389302,1.2433316794174032,-0.04178249132135395,6,5,0.26472887143793644,0.26472887143793644,0.21428360956706646,0.4451220526469184,1.0,False
2022-03-29,94129.34133204228,0.010880266161118663,0.011022069345859753,0.0001418031847410894,-0.06659829782235756,1.1626618987773527,0.029426984238261317,6,5,0.2613078593925152,0.2613078593925152,0.21421100184044284,0.4451220526469184,1.0,False
2022-03-30,94931.78198409844,0.008524872698572723,0.008552098482760853,2.722578418812978e-05,-0.05864116713466207,1.1344962265383773,0.0015550761725071222,6,5,0.2559013948387893,0.2559013948387893,0.21369131595233454,0.4451220526469184,1.0,False
